city_ascii,country,iso2,lat,lng,population,country_code,aqi_level,co,no,no2,o3,so2,pm2_5,pm10,nh3,current_temp,feels_like,min_temp,max_temp,pressure,humidity,visibility,wind_speed,wind_angle,wind_direction
Tokyo,Japan,JP,35.6897,139.6922,37977000,"Tokyo,JP",Very Poor,660.9,93.88,81.57,0,39.1,55.09,61.99,0.02,70.484,70.808,62.54599999999995,75.52399999999992,1026,76,10000,0.45,120,East South East
Jakarta,Indonesia,ID,-6.2146,106.8451,34540000,"Jakarta,ID",Very Poor,21789.55,300.41,123.38,0,99.18,735.6,944.93,92.21,81.2659999999999,86.86399999999993,77.41399999999993,82.50800000000001,1010,79,5000,0,0,North North East
Delhi,India,IN,28.66,77.23,29617000,"Delhi,IN",Poor,827.79,0,25.71,47.21,14.31,37.47,77.11,18.75,84.27199999999993,96.40399999999995,84.27199999999993,84.27199999999993,1006,84,4000,0,0,North North East
Mumbai,India,IN,18.9667,72.8333,23355000,"Mumbai,IN",Poor,1041.41,4.02,27.76,2.19,22.89,48.07,86.06,13.17,85.96399999999994,98.56399999999994,85.96399999999994,85.96399999999994,1008,84,3000,2.57,360,North North West
Manila,Philippines,PH,14.6,120.9833,23088000,"Manila,PH",Fair,654.22,0.03,15.08,14.66,4.59,15.19,20.39,4.24,80.6,85.226,79.934,82.38199999999992,1008,78,10000,0,0,North North East
Shanghai,China,CN,31.1667,121.4667,22120000,"Shanghai,CN",Very Poor,1295.09,0.14,98.71,24.68,186.92,53.28,80.31,0.86,77.32399999999991,78.56599999999992,75.84799999999993,78.63799999999995,1016,81,10000,8,160,South South East
Sao Paulo,Brazil,BR,-23.5504,-46.6339,22046000,"Sao Paulo,BR",Good,440.6,0.08,6.94,54.36,3.04,3.97,6.64,2.06,80.41999999999996,81.5,80.13199999999992,82.27399999999992,1013,53,10000,2.57,200,South South West
Seoul,"Korea, South",KR,37.56,126.99,21794000,"Seoul,KR",Very Poor,974.66,53.2,93.22,0,15.97,89.64,101.14,3.07,63.805999999999926,64.02199999999993,60.25999999999998,71.02399999999992,1018,88,10000,1.03,190,South South West
Mexico City,Mexico,MX,19.4333,-99.1333,20996000,"Mexico City,MX",Poor,614.17,22.8,19.54,13.77,21.94,26.84,32.81,1.19,60.96199999999996,60.38599999999997,59.935999999999964,63.03199999999991,1021,77,10000,0.45,344,North North West
Guangzhou,China,CN,23.1288,113.259,20902000,"Guangzhou,CN",Very Poor,1241.68,23.25,77.46,0,64.85,97.6,132.82,0.31,82.32799999999997,87.31399999999994,82.32799999999997,82.92199999999994,1013,71,10000,3.07,131,East South East
Beijing,China,CN,39.905,116.3914,19433000,"Beijing,CN",Very Poor,1615.52,64.37,50.72,0,27.42,137.59,183.58,6.97,66.61399999999993,65.22799999999997,64.27399999999992,67.74799999999993,1014,48,10000,3.05,9,North North East
Cairo,Egypt,EG,30.0561,31.2394,19372000,"Cairo,EG",Moderate,250.34,0.11,4.28,128.75,8.82,8.87,18.7,4.69,83.69599999999994,84.95599999999993,82.4,83.69599999999994,1014,51,10000,4.63,340,North North West
New York,United States,US,40.6943,-73.9249,18713220,"New York,US",Poor,534.06,23.69,26.05,20.92,3.93,25.27,33.43,2,72.13999999999993,71.77999999999994,66.91999999999996,76.53199999999993,1016,58,10000,2.06,220,South South West
Kolkata,India,IN,22.5411,88.3378,17560000,"Kolkata,IN",Fair,494,0.08,16.28,15.74,18.36,18.47,32.64,5.57,85.92799999999997,98.52799999999996,85.92799999999997,85.92799999999997,1006,89,3500,4.63,200,South South West
Moscow,Russia,RU,55.7558,37.6178,17125000,"Moscow,RU",Poor,1041.41,96.56,87.74,0.05,33.85,29.78,37.99,4.5,45.28399999999999,43.51999999999996,40.26199999999996,48.61399999999993,1034,53,10000,1.74,122,East South East
Bangkok,Thailand,TH,13.75,100.5167,17066000,"Bangkok,TH",Very Poor,8438.11,214.58,53.47,0,30.52,280.8,342.33,14.69,79.60999999999999,79.60999999999999,76.87399999999991,84.82999999999994,1010,88,10000,2.33,162,South South East
Buenos Aires,Argentina,AR,-34.5997,-58.3819,16157000,"Buenos Aires,AR",Good,270.37,3.58,6.77,56.51,8.46,1.62,3.48,1.88,58.02799999999996,55.12999999999994,55.958000000000006,59,1016,34,10000,4.63,210,South South West
Shenzhen,China,CN,22.535,114.054,15929000,"Shenzhen,CN",Very Poor,988.01,0.1,65.12,22.71,99.18,61.1,76.22,0.52,84.21799999999999,96.81799999999998,83.83999999999992,86.19799999999992,1013,88,10000,0.45,0,North North East
Dhaka,Bangladesh,BD,23.7289,90.3944,15443000,"Dhaka,BD",Fair,700.95,1.2,17.65,3.62,4.35,17.01,25.67,6.21,85.96399999999994,95,85.96399999999994,85.96399999999994,1007,70,4000,2.06,80,East North East
Lagos,Nigeria,NG,6.45,3.4,15279000,"Lagos,NG",Good,460.63,0.22,3.43,32.19,2.74,4.57,7.83,1.95,84.45199999999997,91.83199999999991,84.45199999999997,84.45199999999997,1009,71,10000,3.41,226,West South West
Istanbul,Turkey,TR,41.01,28.9603,15154000,"Istanbul,TR",Good,283.72,0.13,2.4,67.23,2.47,2.85,4.26,0.33,65.31799999999998,64.12999999999994,64.54399999999998,65.60599999999994,1022,55,10000,6.17,30,North North East
Osaka,Japan,JP,34.75,135.4601,14977000,"Osaka,JP",Fair,360.49,0.01,48.67,32.19,14.9,19.13,24.4,0.36,72.01399999999992,71.834,68.234,75.03799999999995,1025,62,10000,1.64,112,East South East
Karachi,Pakistan,PK,24.86,67.01,14835000,"Karachi,PK",Fair,447.27,0.07,12,22.35,3.55,17.08,27.81,3.1,82.20199999999997,88.78999999999992,82.20199999999997,82.20199999999997,1007,78,6000,3.6,230,West South West
Bangalore,India,IN,12.9699,77.598,13707000,"Bangalore,IN",Moderate,1001.36,14.31,32.56,0.05,8.94,20.1,24.29,3.07,74.82199999999995,76.13599999999997,73.20199999999997,74.82199999999995,1012,88,6000,0,0,North North East
Tehran,Iran,IR,35.7,51.4167,13633000,"Tehran,IR",Poor,700.95,0.14,106.93,29.33,56.74,29.4,85.11,1.35,76.80199999999998,75.36199999999997,72.64399999999998,76.96399999999994,1020,25,10000,2.68,140,South South East
Kinshasa,Congo (Kinshasa),CD,-4.3233,15.3081,13528000,"Kinshasa,CD",Good,340.46,0.02,1.04,29.68,0.23,1.35,6.74,0.74,88.15999999999998,93.28999999999992,88.15999999999998,88.15999999999998,1010,55,10000,2.06,280,West North West
Ho Chi Minh City,Vietnam,VN,10.8167,106.6333,13312000,"Ho Chi Minh City,VN",Very Poor,12603.76,278.95,63.06,0,123.98,552.6,646.67,72.96,78.80000000000001,78.80000000000001,78.80000000000001,78.80000000000001,1008,94,10000,1.03,30,North North East
Los Angeles,United States,US,34.1139,-118.4068,12750807,"Los Angeles,US",Moderate,580.79,10.28,78.83,13.59,4.05,16.92,36.29,5.64,72.33799999999994,71.05999999999997,62.563999999999936,81.98599999999996,1014,38,10000,0,0,North North East
Rio de Janeiro,Brazil,BR,-22.9083,-43.1964,12272000,"Rio de Janeiro,BR",Very Poor,1028.06,1.02,17.48,320.44,32.42,93.53,138.92,14.19,86.234,89.4739999999999,82.38199999999992,96.72799999999997,1011,54,10000,2.06,340,North North West
Nanyang,China,CN,32.9987,112.5292,12010000,"Nanyang,CN",Very Poor,393.87,0,5.27,130.18,11.56,82.42,88.47,2.34,81.98599999999996,85.58599999999997,81.98599999999996,81.98599999999996,1007,66,10000,2.62,165,South South East
Baoding,China,CN,38.8671,115.4845,11860000,"Baoding,CN",Very Poor,1001.36,0.86,58.95,2.59,31.47,119.55,128.43,0,67.58599999999997,68.32399999999991,67.58599999999997,67.58599999999997,1013,91,10000,3.63,21,North North East
Chennai,India,IN,13.0825,80.275,11324000,"Chennai,IN",Very Poor,1562.12,40.68,29.82,0,21.46,55.26,78.08,10.01,82.36399999999993,90.55399999999995,82.36399999999993,82.36399999999993,1007,83,6000,1.03,0,North North East
Chengdu,China,CN,30.66,104.0633,11309000,"Chengdu,CN",Very Poor,647.54,0,16.97,47.21,17.88,51.94,57.01,1.85,80.4739999999999,85.7659999999999,80.4739999999999,80.4739999999999,1005,83,10000,2,20,North North East
Lahore,Pakistan,PK,31.5497,74.3436,11021000,"Lahore,PK",Very Poor,2990.72,0,91.85,69.38,24.56,174.92,211.74,20.01,89.56399999999994,97.60999999999999,84.28999999999992,89.56399999999994,1004,58,4000,2.06,280,West North West
Paris,France,FR,48.8566,2.3522,11020000,"Paris,FR",Good,303.75,0.24,6.26,55.08,1.74,1.57,2.16,0.83,59.25199999999998,58.3159999999999,56.983999999999995,60.76399999999993,1007,73,10000,0.89,203,South South West
London,United Kingdom,GB,51.5072,-0.1275,10979000,"London,GB",Good,300.41,0.75,5.06,60.08,3.07,0.8,1.48,0.4,58.55,57.72199999999994,56.08399999999999,61.51999999999996,1000,77,10000,5.66,230,West South West
Linyi,China,CN,35.0606,118.3425,10820000,"Linyi,CN",Very Poor,540.73,0,20.05,97.28,38.15,76.19,89.17,2.66,76.13599999999997,77.12599999999999,76.13599999999997,76.13599999999997,1011,78,10000,4.05,174,South South East
Tianjin,China,CN,39.1467,117.2056,10800000,"Tianjin,CN",Very Poor,1041.41,2.77,62.38,2.08,34.81,166.61,173.23,0,66.12799999999996,66.57799999999997,62.95999999999998,66.12799999999996,1011,88,10000,6,340,North North West
Shijiazhuang,China,CN,38.0422,114.5086,10784600,"Shijiazhuang,CN",Very Poor,1081.47,4.75,61.01,0.1,16.69,88.61,95.96,1.73,66.03799999999995,66.66799999999998,66.03799999999995,66.03799999999995,1013,92,10000,2.55,329,North North West
Zhoukou,China,CN,33.625,114.6418,9901000,"Zhoukou,CN",Very Poor,827.79,0,9.43,158.79,56.27,153.29,164.46,0,82.65199999999999,86.97199999999994,82.65199999999999,82.65199999999999,1009,67,10000,3.72,173,South South East
Lima,Peru,PE,-12.05,-77.0333,9848000,"Lima,PE",Moderate,330.45,2.18,14.4,41.84,8.11,7.95,38.53,6.97,60.42199999999994,59.647999999999925,59.12599999999999,61.03399999999999,1008,74,10000,2.57,270,West North West
Hyderabad,India,IN,17.3667,78.4667,9746000,"Hyderabad,IN",Very Poor,4592.9,121.59,45.93,0,38.62,188.03,222.31,21.03,77.39599999999996,78.97999999999993,77.39599999999996,78.29599999999995,1013,88,6000,0.51,0,North North East
Handan,China,CN,36.6116,114.4894,9549700,"Handan,CN",Very Poor,1201.63,11.62,68.55,0,35.29,99.09,100.54,0.04,67.98199999999991,68.95399999999995,67.98199999999991,67.98199999999991,1012,95,10000,4.13,4,North North East
Bogota,Colombia,CO,4.6126,-74.0705,9464000,"Bogota,CO",Fair,487.33,3.16,10.97,70.81,1.86,10.36,12.95,2.76,63.895999999999944,62.437999999999946,63.895999999999944,63.895999999999944,1026,52,10000,3.09,80,East North East
Weifang,China,CN,36.7167,119.1,9373000,"Weifang,CN",Very Poor,567.44,0,21.94,92.98,47.68,85.6,97.78,1.16,74.33599999999997,75.27199999999993,74.33599999999997,74.33599999999997,1010,81,10000,4.72,187,South South West
Nagoya,Japan,JP,35.1167,136.9333,9113000,"Nagoya,JP",Poor,640.87,70.63,70.6,0,61.04,41.63,48.6,10.01,70.44799999999992,70.95199999999997,68.28799999999995,74.984,926,80,10000,1.13,68,East North East
Wuhan,China,CN,30.5872,114.2881,8962000,"Wuhan,CN",Very Poor,1268.39,14.98,74.03,0.05,84.88,102.41,122.68,2.63,87.87199999999993,94.892,87.87199999999993,87.87199999999993,1009,60,10000,3.99,142,South South East
Heze,China,CN,35.2333,115.4333,8750000,"Heze,CN",Very Poor,754.36,0,22.62,52.21,14.78,114.93,130.07,3.58,73.50800000000001,74.92999999999995,73.50800000000001,73.50800000000001,1010,93,10000,4.8,13,North North East
Ganzhou,China,CN,25.8292,114.9336,8677600,"Ganzhou,CN",Very Poor,527.38,0,1.16,80.82,2.89,65.01,69.35,0.11,79.41199999999995,79.41199999999995,79.41199999999995,79.41199999999995,1012,64,10000,0.58,136,South South East
Tongshan,China,CN,34.261,117.1859,8669000,"Tongshan,CN",Very Poor,547.41,0,8.31,138.76,20.03,109.13,118.76,3.04,79.55599999999993,79.55599999999993,79.55599999999993,79.55599999999993,1010,68,10000,2.79,176,South South East
Chicago,United States,US,41.8373,-87.6862,8604203,"Chicago,US",Good,363.83,1.82,20.91,9.21,2.92,2.29,3.23,0.52,70.08799999999994,70.84399999999997,66.90199999999999,73.00399999999996,1011,86,10000,0.45,207,South South West
Luanda,Angola,AO,-8.8383,13.2344,8417000,"Luanda,AO",Fair,360.49,0.58,3.09,62.94,1.45,7.37,22.33,1.39,78.78199999999993,78.78199999999993,78.78199999999993,78.78199999999993,1009,69,10000,4.12,240,West South West
Changsha,China,CN,28.1987,112.9709,8394500,"Changsha,CN",Very Poor,854.49,0,32.22,100.14,62.94,120.26,129.26,0,86.14399999999998,89.97799999999997,86.14399999999998,86.14399999999998,1009,56,10000,3.17,160,South South East
Fuyang,China,CN,32.8986,115.8045,8360000,"Fuyang,CN",Very Poor,660.9,0,18.85,51.5,17.41,84.3,94.83,6.97,80.58199999999991,83.92999999999995,80.58199999999991,80.58199999999991,1009,70,10000,3,160,South South East
Kuala Lumpur,Malaysia,MY,3.1478,101.6953,8285000,"Kuala Lumpur,MY",Very Poor,9185.79,182.39,97.33,0,46.25,148.35,171.9,9.12,81.46399999999994,87.52999999999994,77.52199999999993,81.93199999999992,1010,80,10000,1.03,0,North North East
Jining,China,CN,35.4,116.5667,8023000,"Jining,CN",Very Poor,680.92,0,14.05,153.07,39.58,165.22,181.13,3.14,74.19200000000001,75.39799999999993,74.19200000000001,74.19200000000001,1010,87,10000,1.95,269,West South West
Dongguan,China,CN,23.0475,113.7493,7981000,"Dongguan,CN",Very Poor,794.41,0.03,39.41,19.49,24.32,62.43,82.93,0.86,84.03799999999995,94.892,82.38199999999992,84.14599999999996,1013,82,10000,2.71,122,East South East
Jinan,China,CN,36.6667,116.9833,7967400,"Jinan,CN",Very Poor,974.66,0.31,56.89,11.62,24.8,138.85,145.7,1.39,70.78999999999992,72.12199999999993,70.78999999999992,70.78999999999992,1012,97,1040,2.47,42,North North East
Foshan,China,CN,23.0292,113.1056,7905700,"Foshan,CN",Very Poor,1361.85,53.2,84.31,0,69.62,114.19,152.13,0.14,82.41799999999998,88.50199999999998,82.41799999999998,82.99399999999997,1013,75,10000,3.11,132,East South East
Hanoi,Vietnam,VN,21.0245,105.8412,7785000,"Hanoi,VN",Very Poor,1468.66,1.65,63.06,3.8,31.47,62.45,83.14,12.29,82.38199999999992,90.31999999999996,82.38199999999992,82.38199999999992,1011,82,10000,3.13,160,South South East
Pune,India,IN,18.5196,73.8553,7764000,"Pune,IN",Very Poor,827.79,0.23,23.99,13.59,6.68,51.89,67.19,5.76,77.08999999999992,78.49399999999997,77.08999999999992,77.08999999999992,1010,85,10000,2.19,280,West North West
Chongqing,China,CN,29.5628,106.5528,7739000,"Chongqing,CN",Poor,680.92,0.48,43.53,9.84,47.68,29.97,37.38,5.13,88.10599999999994,91.6159999999999,88.10599999999994,88.10599999999994,1004,51,10000,3,100,East South East
Changchun,China,CN,43.9,125.2,7674439,"Changchun,CN",Fair,367.17,0,8.82,43.99,6.38,10.69,12.6,3.01,53.13199999999992,51.00800000000001,49.94599999999995,53.13199999999992,989,61,10000,3.84,6,North North East
Zhumadian,China,CN,32.9773,114.0253,7640000,"Zhumadian,CN",Very Poor,614.17,0,15.59,103,32.9,93.69,102.38,2.6,80.79799999999992,84.77599999999998,80.79799999999992,80.79799999999992,1008,73,10000,3.73,149,South South East
Ningbo,China,CN,29.875,121.5492,7639000,"Ningbo,CN",Moderate,307.08,0,17.82,97.28,18.84,22.6,41.16,0.69,76.96399999999994,78.02599999999998,76.96399999999994,76.96399999999994,1017,78,10000,6,160,South South East
Cangzhou,China,CN,38.3037,116.8452,7544300,"Cangzhou,CN",Very Poor,841.14,0.03,28.45,25.39,13.95,103.17,106.88,2.34,66.8659999999999,67.81999999999996,66.8659999999999,66.8659999999999,1012,97,10000,1.92,36,North North East
Nanjing,China,CN,32.05,118.7667,7496000,"Nanjing,CN",Very Poor,527.38,0,31.87,101.57,50.55,58.65,73.36,3.8,78.69200000000001,78.69200000000001,78.69200000000001,78.74599999999995,1012,62,10000,3.46,136,South South East
Hefei,China,CN,31.8639,117.2808,7457027,"Hefei,CN",Very Poor,894.55,0,25.71,85.12,29.09,117.44,131.02,2.38,82.4,86.97199999999994,82.4,82.4,1011,69,10000,6,170,South South East
Ahmedabad,India,IN,23.03,72.58,7410000,"Ahmedabad,IN",Fair,600.82,0.22,24.33,12.34,6.02,18.88,29.72,6.33,86.01799999999999,96.94399999999997,86.01799999999999,86.01799999999999,1007,74,4000,0,0,North North East
Hong Kong,Hong Kong,HK,22.305,114.185,7347000,"Hong Kong,HK",Poor,480.65,0,34.96,64.37,57.7,28.89,36.4,0,84.65,95.82799999999997,83.94799999999992,86.30599999999993,1012,80,10000,1.79,135,South South East
Zhanjiang,China,CN,21.1967,110.4031,7332000,"Zhanjiang,CN",Poor,270.37,0,9.17,54.36,8.46,28.32,36.19,0,81.10399999999996,86.48599999999996,81.10399999999996,81.10399999999996,1012,79,10000,5.36,110,East South East
Shaoyang,China,CN,27.2418,111.4725,7302400,"Shaoyang,CN",Poor,534.06,0,23.99,38.62,20.74,40.14,49.14,6.14,80.00599999999993,81.392,80.00599999999993,80.00599999999993,1010,56,10000,1.24,210,South South West
Hengyang,China,CN,26.8968,112.5857,7300600,"Hengyang,CN",Poor,473.98,0,13.02,90.84,22.17,40.97,44.8,0,84.81199999999995,88.05199999999998,84.81199999999995,84.81199999999995,1010,57,10000,2.43,161,South South East
Nantong,China,CN,31.9829,120.8873,7282835,"Nantong,CN",Very Poor,1121.52,0,87.05,33.62,127.79,59.45,86.31,0,76.7659999999999,77.86399999999993,75.95599999999993,78.00800000000001,1015,79,10000,7.83,151,South South East
Khartoum,Sudan,SD,15.6031,32.5265,7282000,"Khartoum,SD",Very Poor,205.28,0.03,0.73,101.57,1.58,56.16,293.61,0.38,96.99799999999992,93.27199999999993,96.99799999999992,96.99799999999992,1009,18,10000,0.89,348,North North West
Yancheng,China,CN,33.3936,120.1339,7260240,"Yancheng,CN",Very Poor,1335.14,0.01,89.11,15.2,120.16,97.98,129.43,0,73.68799999999995,74.37199999999993,73.68799999999995,73.68799999999995,1013,77,10000,6.24,158,South South East
Nanning,China,CN,22.8192,108.315,7153300,"Nanning,CN",Moderate,323.77,0,14.74,54.36,14.78,20.85,26.92,1.36,77.43199999999992,78.49399999999997,77.43199999999992,77.43199999999992,1012,77,10000,2.47,145,South South East
Xi'an,China,CN,34.2667,108.9,7135000,"Xi'an,CN",Poor,520.71,0.01,23.31,33.98,22.65,33.61,39.53,3.64,63.391999999999996,62.63599999999997,63.391999999999996,63.391999999999996,1013,68,10000,4.95,248,West South West
Shenyang,China,CN,41.8039,123.4258,7105000,"Shenyang,CN",Very Poor,3257.75,55.88,100.08,0,61.04,235.75,252.68,0.01,61.87999999999994,62.41999999999996,61.87999999999994,62.6,1000,99,7000,0.89,315,North North West
Tangshan,China,CN,39.6292,118.1742,7100000,"Tangshan,CN",Very Poor,814.44,0,11.65,27.9,10.13,82.26,88.53,2.06,66.61399999999993,67.35199999999998,66.61399999999993,66.61399999999993,1014,93,10000,1.74,51,East North East
Santiago,Chile,CL,-33.45,-70.6667,7007000,"Santiago,CL",Very Poor,988.01,2.15,14.05,174.52,32.42,83.04,99.8,13.43,59.53999999999992,57.21799999999999,58.13599999999997,67.26199999999996,1018,43,10000,1.54,270,West North West
Zhengzhou,China,CN,34.7492,113.6605,7005000,"Zhengzhou,CN",Very Poor,1228.33,1.31,60.32,6.26,32.42,189.69,213.78,2.34,73.868,74.94799999999992,73.868,73.868,1010,85,10000,4.22,58,East North East
Shangqiu,China,CN,34.4259,115.6467,7000000,"Shangqiu,CN",Very Poor,574.11,0,16.62,97.28,28.61,90.11,99.85,6.02,76.94599999999994,78.18799999999995,76.94599999999994,76.94599999999994,1009,82,10000,2.95,205,South South West
Yantai,China,CN,37.3997,121.2664,6968202,"Yantai,CN",Poor,320.44,0,4.37,121.59,8.11,48.4,78.16,0,73.66999999999996,74.87599999999999,73.66999999999996,73.66999999999996,1011,88,10000,5.78,179,South South East
Riyadh,Saudi Arabia,SA,24.65,46.71,6881000,"Riyadh,SA",Poor,494,19,98.71,7.42,34.33,26.97,62.37,2.63,96.92599999999999,91.85,96.92599999999999,96.92599999999999,1007,9,10000,2.74,22,North North East
Dar es Salaam,Tanzania,TZ,-6.8,39.2833,6698000,"Dar es Salaam,TZ",Fair,494,0.35,5.83,41.84,2.89,12.7,33.03,8.61,79.17799999999997,79.17799999999997,79.17799999999997,79.17799999999997,1012,62,10000,5.23,105,East South East
Xinyang,China,CN,32.1264,114.0672,6634000,"Xinyang,CN",Very Poor,881.2,0,32.9,53.64,70.57,116.47,129.97,0.23,80.4739999999999,84.18199999999992,80.4739999999999,80.4739999999999,1008,73,10000,3.16,167,South South East
Shangrao,China,CN,28.4419,117.9633,6579714,"Shangrao,CN",Poor,507.36,0,16.28,39.7,13.11,31.07,38.07,2.98,74.56999999999996,75.07399999999991,74.56999999999996,74.56999999999996,1014,71,10000,1.56,71,East North East
Luoyang,China,CN,34.6587,112.4245,6549941,"Luoyang,CN",Very Poor,921.25,0.05,41.81,16.99,28.61,212,235.96,0.95,72.33799999999994,73.65199999999999,72.33799999999994,72.33799999999994,1010,93,10000,2.01,340,North North West
Bijie,China,CN,27.3019,105.2863,6537498,"Bijie,CN",Good,417.23,0,8.91,48.64,7.99,6.61,7.88,1.05,65.55199999999998,65.984,65.55199999999998,65.55199999999998,1009,89,10000,6.09,172,South South East
Quanzhou,China,CN,24.9139,118.5858,6480000,"Quanzhou,CN",Moderate,307.08,0,8.82,85.12,13.35,20.65,36.95,1.06,83.13799999999995,90.42799999999997,80.52799999999996,83.13799999999995,1015,76,10000,4.12,21,North North East
Hangzhou,China,CN,30.25,120.1675,6446000,"Hangzhou,CN",Very Poor,614.17,0,33.59,80.11,38.62,51.94,76.5,3.36,80.49199999999999,83.33599999999997,80.49199999999999,80.49199999999999,1014,67,10000,2.61,162,South South East
Miami,United States,US,25.7839,-80.2102,6445545,"Miami,US",Fair,236.99,0.15,3.04,110.15,1.13,2.91,10.04,0.13,83.94799999999992,89.74399999999997,80.97799999999997,87.00800000000001,1017,68,10000,0.45,112,East South East
Huanggang,China,CN,30.45,114.875,6333000,"Huanggang,CN",Moderate,343.8,0,6.08,50.07,4.05,24.47,47.79,0.93,82.27399999999992,90.89599999999996,82.27399999999992,82.27399999999992,1014,85,10000,3.89,66,East North East
Maoming,China,CN,21.6618,110.9178,6313200,"Maoming,CN",Moderate,297.07,0,9.34,60.08,10.13,24.64,31.55,0.77,78.76399999999992,78.76399999999992,78.76399999999992,78.76399999999992,1012,85,10000,3.82,92,East South East
Kunming,China,CN,25.0433,102.7061,6250000,"Kunming,CN",Fair,447.27,0.2,19.71,7.87,18.84,12.47,16.77,1.39,64.30999999999997,64.292,64.30999999999997,64.30999999999997,1022,82,10000,5,210,South South West
Nanchong,China,CN,30.7991,106.0784,6183000,"Nanchong,CN",Poor,407.22,0,10.71,61.51,13.47,37.31,45.38,7.41,83.53399999999999,87.27799999999996,83.53399999999999,83.53399999999999,1003,62,10000,1.96,101,East South East
Zunyi,China,CN,27.705,106.9336,6127009,"Zunyi,CN",Fair,283.72,0,3.68,67.23,7.09,14.68,17.29,2.31,70.62799999999996,70.77199999999993,70.62799999999996,70.62799999999996,1010,72,10000,3.72,156,South South East
Lu'an,China,CN,31.7542,116.5078,6090000,"Lu'an,CN",Very Poor,640.87,0,6.86,113.01,9.42,95.1,100.15,0.45,79.25,79.25,79.25,79.25,1010,68,10000,3.4,168,South South East
Jieyang,China,CN,23.5533,116.3649,6089400,"Jieyang,CN",Poor,390.53,0,16.97,87.98,25.27,31.69,53.69,0,82.30999999999997,91.57999999999994,82.30999999999997,82.30999999999997,1015,87,10000,0.42,105,East South East
